bayesian_temp,accuracy,balanced_accuracy,f1_macro,level1_accuracy,level1_balanced_accuracy,level2_accuracy,level2_balanced_accuracy,level1_fn_rate,level1_fp_rate,level2_fn_rate,level2_fp_rate,level1_confusion_matrix,level2_confusion_matrix,overall_confusion_matrix
0.0,0.84,0.9191919191919192,0.8380809595202399,1.0,1.0,0.8024691358024691,0.8787878787878788,0.0,0.0,0.24242424242424243,0.0,"[[19.0, 0.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[19, 0, 0], [0, 15, 0], [0, 16, 50]]"
0.01,0.88,0.9393939393939394,0.8714285714285714,1.0,1.0,0.8518518518518519,0.9090909090909092,0.0,0.0,0.18181818181818182,0.0,"[[19.0, 0.0], [0.0, 81.0]]","[[15.0, 0.0], [12.0, 54.0]]","[[19, 0, 0], [0, 15, 0], [0, 12, 54]]"
0.05,0.99,0.9949494949494949,0.9867027825658705,1.0,1.0,0.9876543209876543,0.9924242424242424,0.0,0.0,0.015151515151515152,0.0,"[[19.0, 0.0], [0.0, 81.0]]","[[15.0, 0.0], [1.0, 65.0]]","[[19, 0, 0], [0, 15, 0], [0, 1, 65]]"
0.1,0.78,0.6,0.582010582010582,0.81,0.5,0.9629629629629629,0.9,0.0,1.0,0.0,0.2,"[[0.0, 19.0], [0.0, 81.0]]","[[12.0, 3.0], [0.0, 66.0]]","[[0, 0, 19], [0, 12, 3], [0, 0, 66]]"
