temperature,accuracy,balanced_accuracy,f1_macro,level1_accuracy,level1_balanced_accuracy,level2_accuracy,level2_balanced_accuracy
0.001,0.8043478260869565,0.7692307692307692,0.7124183006535948,1.0,1.0,0.5909090909090909,0.6538461538461539
0.0016681005372000592,0.8043478260869565,0.7692307692307692,0.7124183006535948,1.0,1.0,0.5909090909090909,0.6538461538461539
0.0027825594022071257,0.8043478260869565,0.7692307692307692,0.7124183006535948,1.0,1.0,0.5909090909090909,0.6538461538461539
0.004641588833612777,0.8043478260869565,0.7692307692307692,0.7124183006535948,1.0,1.0,0.5909090909090909,0.6538461538461539
0.007742636826811269,0.8260869565217391,0.7948717948717948,0.7492877492877493,1.0,1.0,0.6363636363636364,0.6923076923076923
0.01291549665014884,0.8478260869565217,0.8205128205128206,0.783859649122807,1.0,1.0,0.6818181818181818,0.7307692307692308
0.021544346900318832,0.8478260869565217,0.8205128205128206,0.783859649122807,1.0,1.0,0.6818181818181818,0.7307692307692308
0.03593813663804626,0.8478260869565217,0.8205128205128206,0.783859649122807,1.0,1.0,0.6818181818181818,0.7307692307692308
0.05994842503189409,0.8695652173913043,0.8347578347578347,0.8181818181818182,1.0,1.0,0.7272727272727273,0.7521367521367521
0.1,0.8913043478260869,0.8603988603988603,0.8481711525189786,1.0,1.0,0.7727272727272727,0.7905982905982906
