method,threshold,bayesian_temp,accuracy,balanced_accuracy,f1_macro,level1_accuracy,level1_balanced_accuracy,level1_fn_rate,level1_fp_rate
Threshold (0.5),0.5,,0.84,0.9191919191919192,0.8380809595202399,1.0,1.0,0.0,0.0
Threshold (0.4),0.4,,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.0,1.0
Threshold (0.3),0.3,,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.0,1.0
Threshold (0.2),0.2,,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.0,1.0
Bayesian (0.000),,0.0,0.84,0.9191919191919192,0.8380809595202399,1.0,1.0,0.0,0.0
Bayesian (0.010),,0.01,0.88,0.9393939393939394,0.8714285714285714,1.0,1.0,0.0,0.0
Bayesian (0.050),,0.05,0.99,0.9949494949494949,0.9867027825658705,1.0,1.0,0.0,0.0
Bayesian (0.100),,0.1,0.78,0.6,0.582010582010582,0.81,0.5,0.0,1.0
