train_loss,val_loss,val_acc,val_balanced_acc,val_f1_macro
1.765885787350791,1.7051511605580647,0.08888888888888889,0.2,0.03265306122448979
1.6339717847960336,1.6359662214914958,0.24444444444444444,0.27243589743589747,0.16039408866995072
1.5736016545976912,1.510978897412618,0.6888888888888889,0.3358974358974359,0.31931818181818183
1.4641729763575964,1.4280558824539185,0.7111111111111111,0.35128205128205126,0.3229946524064171
1.3922955904688155,1.3639650742212932,0.7333333333333333,0.41794871794871796,0.3984848484848485
1.362490747656141,1.2580370505650837,0.8,0.5762820512820512,0.4471732522796352
1.2727490408079964,1.201852281888326,0.8444444444444444,0.6,0.4533333333333333
1.2376186166490828,1.1591891447703044,0.8666666666666667,0.6666666666666667,0.5733333333333334
1.190584761755807,1.1207005977630615,0.8888888888888888,0.7333333333333333,0.6666666666666667
1.1551286748477392,1.0599692662556965,0.9333333333333333,0.85,0.8593103448275862
1.0918502126421248,1.0295918385187786,0.9333333333333333,0.85,0.8593103448275862
1.0764698897089278,1.0105441411336262,0.9333333333333333,0.85,0.8593103448275862
1.0374543113367898,0.9979889790217081,0.9333333333333333,0.85,0.8593103448275862
1.0592181597437178,0.96751336256663,0.9333333333333333,0.85,0.8593103448275862
1.0095630373273576,0.9661916693051656,0.9333333333333333,0.85,0.8593103448275862
1.0090118263448988,0.9435839653015137,0.9333333333333333,0.85,0.8593103448275862
0.9768114643437522,0.9325352112452189,0.9333333333333333,0.85,0.8593103448275862
1.0165508389472961,0.9379157225290934,0.9333333333333333,0.85,0.8593103448275862
0.9819616590227399,0.922954241434733,0.9333333333333333,0.85,0.8593103448275862
1.019751446587699,0.9306331078211466,0.9333333333333333,0.85,0.8593103448275862
